Processors
3400G
3200G
3200GE
3950X
3900XT
3900X
3900
3800XT
3800X
3700X
3600XT
3600X
3600
3500X
3500
3300X
3100
3995WX
3975WX
3955WX
3945WX
3990X
3970X
3960X
4700S
4500
4100
4700G
4700GE
4600G
4600GE
4300G
4300GE
5700
5500
5700G
5700GE
5600GT
5600G
5600GE
5500GT
5300G
5300GE
5995WX
5975WX
5965WX
5955WX
5945WX
7950X3D
7950X
7900X3D
7900X
7900
7800X3D
7700X
7700
7600X3D
7600X
7600
7500F
7995WX
7985WX
7975WX
7965WX
7955WX
7945WX
7980X
7970X
7960X
8700F
8400F
8700G
8600G
8500G
8300G
2800H
2700U
2600H
2500U
2300U
2200U
3250U
3250C
3200U
4900H
4900HS
4800H
4800HS
4980U
4800U
4700U
4600H
4680U
4600U
4500U
4300U
5700U
5500U
5300U
5980HX
5980HS
5900HX
5900HS
5800H
5800HS
5825U
5800U
5600H
5600HS
5625U
5600U
5560U
5500H
5425U
5400U
5125C
6980HX
6980HS
6900HX
6900HS
6800H
6800HS
6800U
6600H
6600HS
6600U
7520U
7320U
7735HS
7735H
7736U
7735U
7435HS
7435H
7535HS
7535H
7535U
7235HS
7235H
7335U
7940H
7840H
7640H
7440U
7945HX3D
7945HX
7940HX
7845HX
7840HX
7745HX
7645HX
8945HS
8845HS
8840HS
8840U
8645HS
8640HS
8640U
8540U
8440U
7945
7745
7700X
7645
7600X
7700K
7700
7700T
7600K
7600
7600T
7500
7500T
7400
7400T
7350K
7320
7300
7300T
7100
7100T
7101E
7101TE
7920HQ
7820HQ
7820HK
7700HQ
7440HQ
7300HQ
7100H
7660U
7600U
7567U
7560U
7500U
7360U
7300U
7287U
7267U
7260U
7200U
7167U
7100U
7Y75
7Y57
7Y54
7Y30
7Y32
8650U
8550U
8350U
8250U
8850H
8750H
8700B
8500B
8400B
8400H
8300H
8100H
8559U
8269U
8259U
8109U
8510Y
8500Y
8310Y
8210Y
8200Y
8100Y
8665U
8565U
8365U
8265U
8145U
8121U
1065G7
1035G7
1035G4
1035G1
1005G1
1060G7
1030G7
1030G4
1000NG4
1000G4
1000G1
10900K
10900KF
10910
10900
10900F
10900T
10850K
10700K
10700KF
10700
10700F
10700T
10600K
10600KF
10600
10600T
10500
10500T
10400
10400F
10400T
10320
10300
10300T
10100
10100F
10100T
10980HK
10885H
10875H
10870H
10850H
10750H
10500H
10400H
10300H
10200H
10810U
10710U
10610U
10510U
10310U
10210U
10110U
10505
10325
10305
10305T
10105
10105F
10105T
11980HK
11950H
11900H
11850H
11800H
11500H
11400H
11260H
11390H
11375H
11370H
11320H
11300H
1195G7
1185G7
1165G7
1155G7
1145G7
1135G7
1125G4
1115G4
1185GRE
1185G7E
1145GRE
1145G7E
1115GRE
1115G4E
1180G7
1160G7
1140G7
1130G7
1120G4
1110G4
11900K
11900KF
11900
11900F
11900T
11700K
11700KF
11700
11700F
11700T
11600K
11600KF
11600
11600T
11500
11500T
11400
11400F
11400T
12900KS
12900K
12900KF
12900
12900F
12900T
12700K
12700KF
12700
12700F
12700T
12600K
12600KF
12600
12600T
12500
12500T
12400
12400F
12400T
12300
12300T
12100
12100F
12100T
12950HX
12900HX
12850HX
12800HX
12650HX
12600HX
12450HX
12900HK
12900H
12800H
12700H
12650H
12600H
12500H
12450H
1280P
1270P
1260P
1250P
1240P
1220P
1265U
1260U
1255U
1250U
1245U
1240U
1235U
1230U
1215U
1210U
13900KS
13900K
13900KF
13900
13900F
13900T
13700K
13700KF
13700
13700F
13700T
13600K
13600KF
13600
13600T
13500
13500T
13400
13400F
13400T
13100
13100F
13100T
14900KS
14900K
14900KF
14900
14900F
14900T
14790F
14700K
14700KF
14700
14700F
14700T
14600K
14600KF
14600
14600T
14500
14500T
14490F
14400
14400F
14400T
14100
14100F
14100T
300
300T
185H
165H
155H
135H
125H
165U
155U
135U
125U
115U
164U
134U
165HL
155HL
135HL
125HL
165UL
155UL
135UL
125UL
105UL
288V
268V
266V
258V
256V
238V
236V
228V
226V
