Name,Link,Price,Performance,Team,Processor,RAM,Storage,Price2Performance
"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.62cm (15.6"") IPS Full HD, Backlit Keyboard, Pure Silver, 1.7KG",https://www.amazon.in/Acer-i5-12450H-Windows11Home-AL15-52H-Keyboard/dp/B0DDL495SX/ref=sr_1_19?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-19,47990,16984,Intel,12450H,16,512,2.825600565237871
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (8GB RAM/512GB SSD/Windows 11 Home) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg",https://www.amazon.in/Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-20,30990,10839,Intel,1215U,8,512,2.8591198450041517
"HP Laptop 255 G9 (2024), AMD Ryzen 5 5625U Hexa Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.47 kg/",https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DH8831VF/ref=sr_1_22?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-22,33350,14913,AMD,5625U,8,512,2.236303895929726
"ASUS Vivobook 15 Thin and Light Laptop, Intel Core i5-12500H 12Th Gen, 15.6"" (39.62 Cm) FHD, 60Hz (16GB RAM/512GB/Windows 11/Office 2021/Blue/1.7 Kg), X1502ZA-EJ541WS",https://www.amazon.in/ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ541WS/dp/B0C7H6SSC8/ref=sr_1_23?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-23,49990,21072,Intel,12500H,16,512,2.3723424449506454
"ASUS Vivobook 15, Intel Core i5-12500H 12th Gen,Thin and Light Laptop,15.6"" (39.62 cm) FHD, (8GB RAM/512GB/Windows11/Office 2021/Blue/1.7 kg), X1502ZA-EJ523WS",https://www.amazon.in/ASUS-Vivobook-i5-12500H-Laptop-X1502ZA-EJ523WS/dp/B0C5N3G2MD/ref=sr_1_25?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-25,46990,21072,Intel,12500H,8,512,2.2299734244495064
"Dell 15 Thin & Light Laptop, 12th Generation Intel Core i3-1215U Processor, 8GB DDR4 + 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits Display, Win 11 + MSO'21, 15 Month McAfee, Titan Grey, 1.69kg",https://www.amazon.in/Dell-Generation-i3-1215U-Processor-39-62cm/dp/B0BQJ9HZPP/ref=sr_1_26?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.P2Ld-AeTEX8Zg98cUxtce-oKGj6xrQCZeGyL4-sNhUU&dib_tag=se&keywords=laptop&qid=1733911510&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-26,36490,10839,Intel,1215U,8,512,3.3665467294030815
"ASUS Vivobook 14 Thin and Light Laptop, Intel Core i3-1215U 12Th Gen, 14"" (35.56 Cm) FHD, 60Hz (8GB RAM/512GB SSD/Windows 11/Office 2021/Fingerprint/42WHR /Blue/1.40 Kg), X1404ZA-NK321WS",https://www.amazon.in/ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK321WS/dp/B0CCP9PH92/ref=sr_1_26?dib=eyJ2IjoiMSJ9.oKieeIE1jiluaodHhvJrwMPAU3nCNoRYD4kKHYag-8v5lgMN0CayuDnzjGMRH6TE6J5Bi0Pj0NZt8eavlBol0ZRhR1wMcLRLOUaXWYasJqgs0oKgAGarBmi23Zjtc51MMGRmRUXkZ0HLzbZv76r0ZZ2vbHrOK2aDhF6-B3Mgi_o7bf0cHIsxgT-cf6HwXUQsq9XrfKo8o3VQimxDRkkrWUl532dhyP9bx-I2ShaEQmeK3W7Rfd7TeKo_KW92VC7g3eEvwUPBWcGin-KI25BeYt_bHvKp13HFm4u2aqu58dA.1yZTRazpGgNK4A8TbbynClmaIAN3tz0Qzm4-FSyJMj8&dib_tag=se&keywords=laptop&qid=1733911512&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-26,33990,10839,Intel,1215U,8,512,3.135898145585386
"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U - (8GB/512GB SSD/Intel Integrated UHD Graphics/Windows 11) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office 2021",https://www.amazon.in/Lenovo-V14-G3-Intel-1215U/dp/B0DGKZPWV5/ref=sr_1_29?dib=eyJ2IjoiMSJ9.oKieeIE1jiluaodHhvJrwMPAU3nCNoRYD4kKHYag-8v5lgMN0CayuDnzjGMRH6TE6J5Bi0Pj0NZt8eavlBol0ZRhR1wMcLRLOUaXWYasJqgs0oKgAGarBmi23Zjtc51MMGRmRUXkZ0HLzbZv76r0ZZ2vbHrOK2aDhF6-B3Mgi_o7bf0cHIsxgT-cf6HwXUQsq9XrfKo8o3VQimxDRkkrWUl532dhyP9bx-I2ShaEQmeK3W7Rfd7TeKo_KW92VC7g3eEvwUPBWcGin-KI25BeYt_bHvKp13HFm4u2aqu58dA.1yZTRazpGgNK4A8TbbynClmaIAN3tz0Qzm4-FSyJMj8&dib_tag=se&keywords=laptop&qid=1733911512&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-29,32900,10839,Intel,1215U,8,512,3.035335363040871
"Lenovo V14 G3 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel UHD Graphics/Windows 11 Home) Thin and Light Business Laptop/14.0"" FHD Display/Iron Grey/1.57 kg/MS Office",https://www.amazon.in/Lenovo-V14-Intel-Core-1215U/dp/B0DJCQ8D3J/ref=sr_1_31?dib=eyJ2IjoiMSJ9.oKieeIE1jiluaodHhvJrwMPAU3nCNoRYD4kKHYag-8v5lgMN0CayuDnzjGMRH6TE6J5Bi0Pj0NZt8eavlBol0ZRhR1wMcLRLOUaXWYasJqgs0oKgAGarBmi23Zjtc51MMGRmRUXkZ0HLzbZv76r0ZZ2vbHrOK2aDhF6-B3Mgi_o7bf0cHIsxgT-cf6HwXUQsq9XrfKo8o3VQimxDRkkrWUl532dhyP9bx-I2ShaEQmeK3W7Rfd7TeKo_KW92VC7g3eEvwUPBWcGin-KI25BeYt_bHvKp13HFm4u2aqu58dA.1yZTRazpGgNK4A8TbbynClmaIAN3tz0Qzm4-FSyJMj8&dib_tag=se&keywords=laptop&qid=1733911512&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-31,32890,10839,Intel,1215U,16,512,3.0344127687056
"ASUS Vivobook Go 14, AMD Ryzen 3 7320U, Thin and Light Laptop, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows 11/Office 2021/42WHr /Black/1.38 kg), E1404FA-NK325WS",https://www.amazon.in/ASUS-Vivobook-Laptop-Office-E1404FA-NK325WS/dp/B0CCPC5DTD/ref=sr_1_32?dib=eyJ2IjoiMSJ9.oKieeIE1jiluaodHhvJrwMPAU3nCNoRYD4kKHYag-8v5lgMN0CayuDnzjGMRH6TE6J5Bi0Pj0NZt8eavlBol0ZRhR1wMcLRLOUaXWYasJqgs0oKgAGarBmi23Zjtc51MMGRmRUXkZ0HLzbZv76r0ZZ2vbHrOK2aDhF6-B3Mgi_o7bf0cHIsxgT-cf6HwXUQsq9XrfKo8o3VQimxDRkkrWUl532dhyP9bx-I2ShaEQmeK3W7Rfd7TeKo_KW92VC7g3eEvwUPBWcGin-KI25BeYt_bHvKp13HFm4u2aqu58dA.1yZTRazpGgNK4A8TbbynClmaIAN3tz0Qzm4-FSyJMj8&dib_tag=se&keywords=laptop&qid=1733911512&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-32,30990,8852,AMD,7320U,8,512,3.500903750564844
