Name,Link,Price
"HP Laptop 15s, AMD Ryzen 3 5300U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, AMD Radeon Graphics, Thin & Light, Dual Speakers (Win 11, MSO 2019, Silver, 1.69 kg), eq2143AU/eq2212au",https://www.amazon.in/HP-15-6inch-Micro-Edge-Anti-Glare-15s-Eq2143au/dp/B09R1MMMTH/ref=sr_1_11?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-11,31999
"DELL Latitude 3540 (2024) Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Intel UHD Graphics/Windows 11) Thin and Light Business Laptop/15.6"" HD Display/Smoky Black/1.8 kg/MS Office 2021",https://www.amazon.in/DELL-Latitude-3540-Intel-1215U/dp/B08YDRQ46G/ref=sr_1_12?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-12,33100
"Lenovo IdeaPad Slim 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (16GB/512GB SSD/Integrated AMD Graphics/Windows 11 Home/MSO 21/1Yr ADP Free/Cloud Grey/1.61Kg), 82R400ERIN",https://www.amazon.in/Lenovo-IdeaPad-Laptop-Windows-82R400ERIN/dp/B0CP2KRYLM/ref=sr_1_13?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-13,41190
"HP Laptop 250 G9 (2024), Intel Core i3 12th Gen 1215U - (16GB/512GB SSD/Intel Iris Xe Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.57 kg/MS Office 2021 Pro Plus",https://www.amazon.in/HP-Laptop-250-Intel-1215U/dp/B0DJCSYLFJ/ref=sr_1_14?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-14,35500
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Integrated AMD Graphics/Windows 11/Office 2021/HD Camera/1 Year ADP Free/Grey/1.6Kg), 82R400BRIN",https://www.amazon.in/Lenovo-IdeaPad-39-62cm-Windows-82R400BGIN/dp/B09MM58Y7Q/ref=sr_1_15?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-15,38190
"ASUS Vivobook 16, IntelCore™ i3-1215U 12th Gen, Thin and Light Laptop, 16-inch (40.64 cm) FHD+, (8 GB RAM/512GB SSD/Windows 11/Fingerprint/Black/1.88kg), X1605ZAB-MB322WS",https://www.amazon.in/ASUS-Vivobook-Intel%C2%AECoreTM-FingerPrint-X1605ZAB-MB322WS/dp/B0CFVYSZFG/ref=sr_1_16?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-16,33990
"Acer Aspire Lite 12th Gen Intel Core i5-12450H Thin and Light Laptop (Windows11Home/16GB RAM/512GB SSD/MSO) AL15-52H, 39.62cm (15.6"") IPS Full HD, Backlit Keyboard, Pure Silver, 1.7KG",https://www.amazon.in/Acer-i5-12450H-Windows11Home-AL15-52H-Keyboard/dp/B0DDL495SX/ref=sr_1_17?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-17,47990
"Acer Aspire Lite 12th Gen Intel Core i3-1215U Premium Metal Laptop (8GB RAM/512GB SSD/Windows 11 Home) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg",https://www.amazon.in/Acer-i3-1215U-Premium-Windows-AL15-52/dp/B0CKLN7PSZ/ref=sr_1_18?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-18,30990
"Lenovo ThinkBook 15 G5 AMD Ryzen 3 15.6"" FHD Antiglare 250 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Fingerprint Reader/Mineral Grey/1 Year Onsite/1.7 kg), 21JF002JIN",https://www.amazon.in/Lenovo-ThinkBook-Antiglare-Fingerprint-21JF002JIN/dp/B0CGCKPWCX/ref=sr_1_19?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-19,32400
"HP Laptop 255 G9 (2024), AMD Ryzen 5 5625U Hexa Core - (8GB/512GB SSD/AMD Radeon Graphics/Windows 11) Thin and Light Business Laptop/15.6"" (39.62cm)/Silver/1.47 kg/",https://www.amazon.in/HP-Laptop-255-G9-Ryzen/dp/B0DH8831VF/ref=sr_1_20?dib=eyJ2IjoiMSJ9.BmmLh68OUaY9JSgV2_gv5I7YcnpOGQZuht-Gceany8qw1rYUgtwx4XgnamPllj1ix3wOSM50-Qm4Z1R5eFVy8vL9hJm_hOUgBGPHv7yOXa9vodIJnol7ljmvIp0Vm7HoqD1qd58FLe2mObvhAoIwg-1EVs1pXtzhgJXzdP6XN5fPOPnOlcMUbC-I8YBpwX8lB2wnRTSSeeMsNvhFeCWfZblk-tbdewAjpRDuy_jZbvC_vuBD4LUjKDBbKQQt1j1y4UpgUOOWq8vjwYtcoKEQ_Wa_5gbHlpa45X4YWQk659c.VdZtGjqvxcAtcl_1kgkI0sq68ov7s8zBkj3BeTka48M&dib_tag=se&keywords=laptop&qid=1733912956&refinements=p_36%3A3000000-5000000&rnid=7252027031&s=computers&sr=1-20,33300
