Model,Performance
AMD Ryzen 5 7540U,18690
Intel Core i5-12450HX,18677
AMD Ryzen 5 5600GE,18656
Intel Xeon w3-2425,18655
AMD Ryzen 5 8540U,18641
AMD Ryzen 5 3600XT,18638
AMD EPYC 4124P,18637
Intel Xeon W-1270E @ 3.40GHz,18635
AMD Ryzen 7 7730U,18572
Intel Core i7-10700KF @ 3.80GHz,18561
Intel Xeon E5-2697 v3 @ 2.60GHz,18546
Intel Xeon E-2356G @ 3.20GHz,18521
AMD Ryzen 7 4800H,18478
AMD Ryzen 7 PRO 4750GE,18456
AMD Ryzen 5 7535HS,18415
Intel Xeon W-1290T @ 1.90GHz,18409
AMD Ryzen 7 5800U,18391
AMD Ryzen 5 PRO 5650GE,18367
Intel Core i5-1250PE,18365
AMD Ryzen 7 5825U,18322
AMD Ryzen 7 4800HS,18320
Intel Core i5-13420H,18318
Intel Xeon Silver 4214R @ 2.40GHz,18275
AMD Ryzen 5 6600HS Creator Edition,18267
Intel Core i9-9900K @ 3.60GHz,18257
Intel Core i9-9900KF @ 3.60GHz,18244
Intel Xeon E7-8880 v3 @ 2.30GHz,18244
AMD Ryzen 5 PRO 7540U,18215
AMD Ryzen 5 3600X,18189
Intel Xeon W-2145 @ 3.70GHz,18184
Intel Xeon E5-2686 v3 @ 2.00GHz,18148
Intel Xeon W-11855M @ 3.20GHz,18129
Intel Xeon Gold 5120T @ 2.20GHz,18127
Intel Xeon Gold 5120 @ 2.20GHz,18111
Intel Core i7-9800X @ 3.80GHz,18090
AMD Ryzen 5 PRO 8540U,18084
Intel Xeon D-2187NT @ 2.00GHz,18070
Intel Core i5-11600 @ 2.80GHz,18048
Intel Core i7-1270PE,17960
Intel Xeon E5-2666 v4 @ 2.80GHz,17958
Intel Xeon W-3225 @ 3.70GHz,17874
AMD 4700S,17862
Intel Xeon E5-2687W v4 @ 3.00GHz,17832
Intel Xeon D-1736NT @ 2.70GHz,17826
Intel Xeon Gold 6234 @ 3.30GHz,17752
AMD Ryzen 5 3600,17746
AMD EPYC 7232P,17731
Intel Xeon E5-2680 v4 @ 2.40GHz,17704
Intel Core Ultra 5 135U,17678
Intel Core i5-12600T,17667
Intel Xeon E5-2683 v4 @ 2.10GHz,17608
AMD Ryzen 5 Pro 7535U,17598
Intel Core Ultra 7 165U,17591
Intel Xeon W-1270 @ 3.40GHz,17568
AMD Ryzen 7 2700X,17516
Intel Xeon E5-2680R v4 @ 2.40GHz,17487
Intel Xeon W-11555MRE @ 2.60GHz,17484
Intel Core i7-1270P,17476
Intel Xeon E-2378 @ 2.60GHz,17472
Intel Core Ultra 5 125U,17471
AMD Ryzen 7 4980U Microsoft Surface Edition,17469
Intel Xeon E-2288G @ 3.70GHz,17444
Intel Core i5-11500B @ 3.30GHz,17437
Intel Xeon E5-4669 v3 @ 2.10GHz,17430
AMD Ryzen 5 PRO 3600,17396
Intel Core i7-6950X @ 3.00GHz,17353
Intel Core i5-11500 @ 2.70GHz,17332
Intel Xeon W-2140B @ 3.20GHz,17329
Intel Atom P5362,17276
Intel Core i7-12700TE,17189
Intel Core i7-7820X @ 3.60GHz,17165
AMD Ryzen 5 4400G,17160
AMD Ryzen 5 7535U,17127
Intel Xeon W-1270P @ 3.80GHz,17113
AMD Ryzen 7 4850U Mobile,17110
Intel Xeon E-2278G @ 3.40GHz,17082
Intel Core i5-1240P,17074
AMD Ryzen Embedded V3C18I,17053
Intel Xeon E5-2689 v4 @ 3.10GHz,17049
Intel Core i7-1260P,17008
Intel Core i5-11400F @ 2.60GHz,17008
Intel Xeon W-3223 @ 3.50GHz,17003
Intel Core i5-11400 @ 2.60GHz,16997
Intel Core i5-12450H,16984
AMD Ryzen 7 PRO 2700X,16971
AMD Ryzen 5 5600H,16959
AMD Ryzen 7 PRO 5850U,16953
AMD Ryzen 7 Extreme Edition,16903
AMD Ryzen Threadripper 1900X,16799
Intel Xeon E5-2695 v3 @ 2.30GHz,16790
Intel Core Ultra 7 155U,16763
AMD Ryzen Embedded V2748,16706
AMD Ryzen 7 4800U,16687
AMD Ryzen 5 PRO 6650U,16679
Intel Core i9-9900B @ 3.10GHz,16660
Intel Xeon Gold 5118 @ 2.30GHz,16620
Intel Core 5 120U,16607
Intel Xeon Gold 6134 @ 3.20GHz,16605
Intel Core i5-12500T,16563
Intel Xeon E E-2434,16552
AMD Ryzen 5 6600U,16545
Intel CoreTM Ultra 7 165U,16534
Intel Core i9-9900 @ 3.10GHz,16485
Intel Xeon E7-4809 v2 @ 1.90GHz,16471
Intel Xeon E-2336 @ 2.90GHz,16467
Intel Xeon Silver 4214Y @ 2.20GHz,16442
AMD Ryzen 5 PRO 4400G,16413
Intel Core i7-10700F @ 2.90GHz,16399
Intel Core i7-10700 @ 2.90GHz,16382
AMD Ryzen 7 1800X,16357
AMD Ryzen 5 PRO 4655G,16355
Intel Core i7-10700E @ 2.90GHz,16320
Intel Xeon E5-2698B v3 @ 2.00GHz,16287
Intel Xeon E5-2690 v3 @ 2.60GHz,16284
Intel Core i9-10900TE @ 1.80GHz,16251
AMD Ryzen Embedded V2546,16236
Intel Core i7-11600H @ 2.90GHz,16221
Intel Xeon D-2733NT @ 2.10GHz,16206
Intel Xeon Silver 4214 @ 2.20GHz,16190
Intel Core i5-12400T,16185
AMD Ryzen 5 PRO 4650G,16166
Intel Core i3-1220PE,16146
AMD Ryzen 5 4500,16126
Intel Xeon E5-2669 v3 @ 2.30GHz,16107
AMD Ryzen 7 PRO 5875U,16078
AMD Ryzen Embedded V2718,16075
AMD Ryzen 5 4600G,16063
AMD Ryzen 5 7530U,15974
Intel Core i5-11500H @ 2.90GHz,15964
Intel Xeon W-11865MLE @ 1.50GHz,15958
Intel Xeon E5-4650 v4 @ 2.20GHz,15883
Intel Xeon E5-2660 v4 @ 2.00GHz,15873
Intel Core 7 150U,15862
AMD Ryzen 7 5700U,15838
AMD Ryzen 5 7430U,15834
Intel Core i9-13900TE,15819
Intel Xeon Gold 5117 @ 2.00GHz,15816
AMD Ryzen 5 4600GE,15816
Intel Xeon W-10885M @ 2.40GHz,15784
Intel Xeon E-2278GE @ 3.30GHz,15756
Intel Core i5-11260H @ 2.60GHz,15752
Intel Xeon Gold 5215 @ 2.50GHz,15719
AMD Ryzen 7 2700,15699
AMD Ryzen 7 1700X,15657
Intel Core i7-11700T @ 1.40GHz,15623
Intel Core i5-11400H @ 2.70GHz,15611
AMD Ryzen 7 PRO 1700X,15579
AMD Ryzen 5 PRO 4650GE,15531
Intel Xeon D-1726 @ 2.90GHz,15511
Intel Xeon Gold 5217 @ 3.00GHz,15429
AMD Ryzen 5 5600U,15411
Intel Core i9-10980HK @ 2.40GHz,15403
Intel Xeon E5-4667 v3 @ 2.00GHz,15397
Intel Xeon E5-4660 v4 @ 2.20GHz,15375
Intel Core i3-14100F,15308
AMD Ryzen 7 PRO 2700,15300
Intel Xeon w3-2423,15277
Intel Xeon Silver 4116T @ 2.10GHz,15187
AMD Ryzen 5 5560U,15172
AMD Ryzen 7 PRO 4750U,15153
Intel Xeon Silver 4210R @ 2.40GHz,15118
Intel Xeon E5-2680 v3 @ 2.50GHz,15118
Intel Core Ultra 7 164U,15106
Intel Xeon D-2166NT @ 2.00GHz,15105
Intel Xeon E-2286M @ 2.40GHz,15088
Intel Core i3-14100,15039
AMD Ryzen 5 PRO 7530U,15021
Intel Xeon Silver 4215R @ 3.20GHz,15004
Intel Core i5-1345U,15003
AMD EPYC 7301,14991
AMD EPYC 7251,14935
AMD Ryzen 5 5625U,14913
AMD Ryzen 5 PRO 5650U,14911
Intel Xeon E5-2658A v3 @ 2.20GHz,14879
Intel Core i7-10875H @ 2.30GHz,14853
Intel Xeon D-1733NT @ 2.00GHz,14849
Intel Core i9-10900T @ 1.90GHz,14822
Intel Core i7-1355U,14820
Intel Xeon E5-1681 v3 @ 2.90GHz,14820
AMD Ryzen 7 1700,14811
AMD Ryzen 5 PRO 4400GE,14795
Intel Core i7-1365U,14789
Intel Core i9-10885H @ 2.40GHz,14781
Intel Xeon Silver 4116 @ 2.10GHz,14772
AMD Ryzen 3 PRO 8300GE,14753
Intel Xeon E5-2678 v3 @ 2.50GHz,14730
Intel Core i5-1335U,14713
AMD Ryzen 7 PRO 1700,14693
Intel Xeon Gold 5115 @ 2.40GHz,14677
Intel Xeon E5-2683 v3 @ 2.00GHz,14659
AMD Ryzen 5 PRO 5675U,14658
AMD Ryzen 7 2700E,14657
Intel Core 3 100U,14644
Intel Core i9-10880H @ 2.30GHz,14642
Intel Core i3-13100F,14634
Intel Xeon E5-2687W v3 @ 3.10GHz,14615
AMD Ryzen 3 PRO 8300G,14572
Intel Core i3-12300,14540
Intel Core i5-12500TE,14536
Intel Core i3-1220P,14530
Intel CC150 @ 3.50GHz,14500
Intel Core i7-6900K @ 3.20GHz,14470
Intel Core i7-9700K @ 3.60GHz,14457
Intel Xeon W-2135 @ 3.70GHz,14447
Intel Xeon Silver 4215 @ 2.50GHz,14439
AMD Ryzen 5 PRO 4655GE,14436
Intel Xeon E5-2658 v4 @ 2.30GHz,14434
AMD Ryzen 5 4600H,14418
Intel Xeon Silver 4123 @ 3.00GHz,14405
Intel Core i7-10870H @ 2.20GHz,14397
Intel Core i5-11600T @ 1.70GHz,14396
Intel Xeon W-2235 @ 3.80GHz,14359
AMD Ryzen 3 8300G,14316
Intel Core i5-10600K @ 4.10GHz,14295
Intel Xeon E5-2697 v2 @ 2.70GHz,14285
Intel Core i7-9700KF @ 3.60GHz,14258
Intel Xeon E5-4660 v3 @ 2.10GHz,14256
Intel Xeon D-1732TE @ 1.90GHz,14254
Intel Core i7-8086K @ 4.00GHz,14252
Intel Core i3-12100E,14250
Intel Core i5-10600KF @ 4.10GHz,14233
Intel Xeon E5-2673 v3 @ 2.40GHz,14233
AMD Ryzen 5 4600HS,14228
Intel Xeon E5-1680 v4 @ 3.40GHz,14218
Intel Xeon E5-2666 v3 @ 2.90GHz,14187
Intel Core i3-12100F,14110
Intel Core i9-9980HK @ 2.40GHz,14098
Intel Xeon E5-2696 v2 @ 2.50GHz,14078
Intel Xeon W-1250P @ 4.10GHz,14075
Intel Xeon E-2236 @ 3.40GHz,14037
Intel Xeon E-2286G @ 4.00GHz,14020
Intel Core i7-1260U,14001
Intel Xeon E-2276G @ 3.80GHz,13946
AMD EPYC 3251,13912
AMD Ryzen 5 2600X,13908
AMD Ryzen 3 8300GE,13846
AMD Ryzen 3 PRO 5350G,13838
Intel Xeon E-2186G @ 3.80GHz,13817
Intel Core i7-1265U,13780
Intel Xeon E5-2667 v4 @ 3.20GHz,13778
Intel Xeon E-2246G @ 3.60GHz,13747
Intel Core i3-14100T,13727
Intel Core i5-10600 @ 3.30GHz,13676
Intel Core i9-9880H @ 2.30GHz,13669
Intel Core i5-11400T @ 1.30GHz,13632
Intel Core i7-8700K @ 3.70GHz,13622
Intel Xeon E-2176G @ 3.70GHz,13618
Intel Core i3-12100,13611
Intel Xeon E5-1660 v4 @ 3.20GHz,13611
Intel Xeon W-1250 @ 3.30GHz,13610
Intel Xeon E-2374G @ 3.70GHz,13607
Intel Xeon E5-2676 v3 @ 2.40GHz,13595
Intel Xeon E5-2670 v3 @ 2.30GHz,13591
Intel Core i7-1255U,13569
Intel Xeon D-1587 @ 1.70GHz,13566
Intel Xeon W-1270TE @ 2.00GHz,13553
Intel Xeon E5-2650 v4 @ 2.20GHz,13552
Intel Xeon Silver 4210 @ 2.20GHz,13520
Intel Xeon E5-2690 v2 @ 3.00GHz,13487
Intel Xeon E5-2658 v3 @ 2.20GHz,13487
AMD Ryzen 5 4600U,13466
AMD Ryzen 5 PRO 2600,13465
Intel Xeon E-2136 @ 3.30GHz,13460
Intel Core i3-13100,13438
Intel Core i5-10500 @ 3.10GHz,13406
Intel Core i5-1235U,13387
AMD Ryzen 7 4700U,13364
Intel Core i5-1245U,13358
Intel Core i5-1334U,13328
Intel Core i7-9700 @ 3.00GHz,13307
Intel Xeon E5-2695 v2 @ 2.40GHz,13299
Intel Xeon D-1581 @ 1.80GHz,13282
Intel Core i7-9700F @ 3.00GHz,13255
Intel Xeon E-2146G @ 3.50GHz,13253
AMD Ryzen 5 2600,13190
Intel Xeon E5-2675 v3 @ 1.80GHz,13180
AMD Ryzen 5 3500X,13161
Intel Core i5-11500T @ 1.50GHz,13155
Intel Xeon E5-2660 v3 @ 2.60GHz,13119
Intel Xeon Silver 4114 @ 2.20GHz,13117
Intel Core i3-13100T,13099
Intel Xeon E5-1680 v3 @ 3.20GHz,13090
Intel Core i3-12300T,13077
AMD Ryzen 3 5300GE,13074
Intel Core i9-9900T @ 2.10GHz,13072
AMD Ryzen 5 1600X,13056
Intel Xeon E-2334 @ 3.40GHz,13021
AMD Ryzen 5 5500U,13018
AMD Ryzen Embedded V2516,13016
AMD Ryzen 3 7440U,12991
Intel Xeon E5-4627 v4 @ 2.60GHz,12969
Intel Core i7-10700TE @ 2.00GHz,12969
Intel Xeon E5-2685 v3 @ 2.60GHz,12944
AMD Ryzen 3 5300G,12937
Intel Core i7-7800X @ 3.50GHz,12880
Intel Core i7-8700 @ 3.20GHz,12827
Intel Core i7-10700T @ 2.00GHz,12811
AMD Ryzen 3 8440U,12805
AMD Ryzen 5 3500,12791
Intel Core i7-5960X @ 3.00GHz,12748
Intel Xeon E5-2650L v4 @ 1.70GHz,12719
Intel Xeon E5-2667 v3 @ 3.20GHz,12679
Intel Xeon E5-2680 v2 @ 2.80GHz,12664
Intel Xeon W-2133 @ 3.60GHz,12655
Intel Core i5-1240U,12652
Intel Xeon Gold 6128 @ 3.40GHz,12648
Intel Core i3-12100T,12638
AMD Ryzen 5 PRO 4650U,12635
AMD Ryzen 3 3300X,12632
AMD Ryzen 3 PRO 5350GE,12620
Intel Xeon E5-1680 v2 @ 3.00GHz,12609
Intel Core i7-9700E @ 2.60GHz,12595
Intel Xeon W-11555MLE @ 1.90GHz,12591
Intel Xeon W-10855M @ 2.80GHz,12589
Intel Core Ultra 5 134U,12549
Intel Xeon E5-2640 v4 @ 2.40GHz,12497
Intel Xeon E5-1660 v3 @ 3.00GHz,12488
Intel Xeon E5-4628L v4 @ 1.80GHz,12461
AMD Ryzen 3 7335U,12448
AMD Ryzen 3 PRO 7335U,12440
Intel Xeon E5-2618L v4 @ 2.20GHz,12429
Intel Xeon E5-2649 v3 @ 2.30GHz,12399
Intel Atom P5342,12291
AMD Ryzen 3 PRO 7330U,12287
Intel Xeon E5-2667 v2 @ 3.30GHz,12277
AMD Ryzen 5 1600,12277
Intel Xeon E5-2687W v2 @ 3.40GHz,12252
Intel Core i5-10505 @ 3.20GHz,12244
Intel Xeon W-1250E @ 3.50GHz,12212
Intel Xeon D-2143IT @ 2.20GHz,12207
Intel Core i5-10400F @ 2.90GHz,12196
Intel Core i3-1315U,12184
Intel Xeon E5-2648L v4 @ 1.80GHz,12151
Intel Xeon E5-2673 v2 @ 3.30GHz,12128
Intel Xeon E5-2692 v2 @ 2.20GHz,12119
Intel Core i5-10400 @ 2.90GHz,12119
AMD Ryzen 5 PRO 4500U,12117
Intel Xeon D-2141I @ 2.20GHz,12117
Intel Xeon E-2278GEL @ 2.00GHz,12024
Intel Xeon E E-2414,11923
Intel Core i5-1335UE,11921
Intel Xeon E5-2650L v3 @ 1.80GHz,11880
Intel Core i7-8700B @ 3.20GHz,11865
Intel Core i3-12100TE,11859
Intel Core i7-10750H @ 2.60GHz,11834
Intel Core i7-11375H @ 3.30GHz,11822
Intel Xeon E-2276M @ 2.80GHz,11810
Intel Xeon E5-2650 v3 @ 2.30GHz,11797
Intel Core i7-10850H @ 2.70GHz,11788
Intel Xeon E5-2663 v3 @ 2.80GHz,11777
Intel Xeon D-2146NT @ 2.30GHz,11736
Intel Xeon Platinum 8481C @ 2.70GHz,11681
Intel Core i7-11370H @ 3.30GHz,11681
Intel Core i7-1250U,11654
Intel Core i3-13100E,11650
AMD Ryzen 5 5500H,11647
Intel Xeon D-1577 @ 1.30GHz,11645
Intel Xeon E5-4657L v2 @ 2.40GHz,11613
AMD Ryzen 3 3100,11594
Intel Xeon E5-2630 v4 @ 2.20GHz,11586
AMD Ryzen 5 7235HS,11580
Intel Xeon E5-4669 v4 @ 2.20GHz,11523
Intel Core i5-10600T @ 2.40GHz,11464
Intel Core i7-6850K @ 3.60GHz,11460
Intel Xeon E5-1650 v4 @ 3.60GHz,11443
Intel Xeon E-2186M @ 2.90GHz,11409
AMD Ryzen 3 PRO 5475U,11381
Intel Core i3-11100B @ 3.60GHz,11357
Intel Xeon E5-2670 v2 @ 2.50GHz,11347
Intel Xeon E5-4627 v3 @ 2.60GHz,11344
AMD Ryzen 3 5425U,11316
AMD Ryzen 3 PRO 4200G,11315
Intel Core i3-11100HE @ 2.40GHz,11289
Intel Xeon Silver 4208 @ 2.10GHz,11247
AMD Ryzen 5 PRO 1600,11240
Intel Xeon E5-2643 v4 @ 3.40GHz,11235
Intel Core i5-10500H @ 2.50GHz,11231
AMD Ryzen 3 4300GE,11211
Intel Xeon E5-2618L v3 @ 2.30GHz,11181
AMD EPYC 7261,11149
Intel Xeon E5-2640 v3 @ 2.60GHz,11121
Intel Xeon E-2226G @ 3.40GHz,11110
Intel Xeon Silver 4209T @ 2.20GHz,11080
Intel Xeon E5-2628L v4 @ 1.90GHz,11079
AMD Ryzen 3 5400U,11068
Intel Xeon E5-4650 v2 @ 2.40GHz,11064
Intel Core i7-9850H @ 2.60GHz,11054
AMD Ryzen 3 4100,11035
AMD Ryzen 3 PRO 5450U,11026
AMD Ryzen 3 7330U,11008
Intel Core i5-11320H @ 3.20GHz,10990
Intel Core i5-1230U,10977
AMD Ryzen 3 PRO 4350GE,10944
AMD Ryzen 3 PRO 4200GE,10930
AMD Ryzen 3 PRO 4350G,10918
Intel Core i5-11300H @ 3.10GHz,10916
Intel Xeon E5-4655 v4 @ 2.50GHz,10912
AMD Ryzen 5 4500U,10906
Intel Xeon E-2176M @ 2.70GHz,10880
Intel Core i7-9850HE @ 2.70GHz,10868
Intel Core i3-1215U,10839
Intel Xeon E5-4650 v3 @ 2.10GHz,10838
Intel Core i5-10500E @ 3.10GHz,10827
Intel Core i7-9750H @ 2.60GHz,10801
AMD Ryzen 3 4300G,10791
Intel Core i7-9700T @ 2.00GHz,10758
Intel Core i7-6800K @ 3.40GHz,10752
Intel Core i7-1195G7 @ 2.90GHz,10730
Intel Core i5-9600KF @ 3.70GHz,10678
Intel Xeon E5-2470 v2 @ 2.40GHz,10675
Intel Core i5-9600K @ 3.70GHz,10668
Intel Core i7-9750HF @ 2.60GHz,10625
AMD Ryzen 3 PRO 4355GE,10559
Intel Xeon E5-2658 v2 @ 2.40GHz,10528
Intel Xeon E5-4620 v3 @ 2.00GHz,10525
Intel Xeon W-2225 @ 4.10GHz,10518
Intel Core i3-1210U,10513
Intel Xeon E-2126G @ 3.30GHz,10474
Intel Core i9-8950HK @ 2.90GHz,10461
Intel Xeon E5-2660 v2 @ 2.20GHz,10454
Intel Xeon D-1567 @ 2.10GHz,10447
Intel Xeon E5-2643 v3 @ 3.40GHz,10446
Intel Core i5-9600 @ 3.10GHz,10433
Intel Xeon E5-1650 v3 @ 3.50GHz,10424
Intel Xeon E5-4640 v3 @ 1.90GHz,10372
Intel Core i7-1185G7 @ 3.00GHz,10369
Intel Xeon E5-2630 v3 @ 2.40GHz,10362
Intel Xeon Silver 4109T @ 2.00GHz,10348
Intel Core i7-1185G7E @ 2.80GHz,10345
Intel Core i7-5930K @ 3.50GHz,10326
Intel Core i7-1365URE,10278
Intel Core i3-10325 @ 3.90GHz,10268
Intel Xeon E5-1660 v2 @ 3.70GHz,10268
Intel Xeon Silver 4110 @ 2.10GHz,10220
Intel Core i7-9700TE @ 1.80GHz,10203
Intel Core i5-8600K @ 3.60GHz,10202
Intel Core i7-8850H @ 2.60GHz,10198
Intel Core i7-8700T @ 2.40GHz,10186
Intel Core i7-1165G7 @ 2.80GHz,10164
Intel Core i5-10500T @ 2.30GHz,10098
Intel Core i5-1155G7 @ 2.50GHz,10087
Intel Xeon W-2125 @ 4.00GHz,10050
Intel Core i7-4960X @ 3.60GHz,10042
Intel Xeon D-1540 @ 2.00GHz,10025
Intel Xeon D-1541 @ 2.10GHz,10024
Intel Core i3-10320 @ 3.80GHz,10011
Intel Xeon E5-2630L v4 @ 1.80GHz,10000
Intel Xeon E5-2687W @ 3.10GHz,9996
Intel Core i3-N305,9969
Intel Core i5-8600 @ 3.10GHz,9950
Intel Xeon E5-2628L v3 @ 2.00GHz,9949
Intel Core i7-11390H @ 3.40GHz,9946
Intel Xeon E-2274G @ 4.00GHz,9931
AMD Ryzen 3 PRO 4450U,9930
Intel Core i5-9500F @ 3.00GHz,9923
Intel Core i7-8750H @ 2.20GHz,9881
Intel Xeon E5-2650 v2 @ 2.60GHz,9866
Intel Core i5-9500TE @ 2.20GHz,9861
Intel Xeon E5-2648L v3 @ 1.80GHz,9847
Intel Core i7-5820K @ 3.30GHz,9845
Intel Core i5-9500 @ 3.00GHz,9822
Intel Core i5-1145G7 @ 2.60GHz,9796
Intel Core i7-13800HRE,9781
Intel Xeon E-2324G @ 3.10GHz,9771
Intel Core i5-10400T @ 2.00GHz,9768
Intel Xeon E5-2690 @ 2.90GHz,9741
Intel Core i5-1135G7 @ 2.40GHz,9727
Intel Xeon D-1718T @ 2.60GHz,9713
AMD Ryzen 3 5300U,9693
Intel Xeon E-2174G @ 3.80GHz,9687
Intel Xeon E5-2689 @ 2.60GHz,9680
Intel Core i7-7700K @ 4.20GHz,9645
AMD Ryzen 5 PRO 3350GE,9643
Intel Core i5-9600T @ 2.30GHz,9633
Intel Core i3-1125G4 @ 2.00GHz,9613
Intel Core i7-7740X @ 4.30GHz,9607
Intel Xeon E-2244G @ 3.80GHz,9604
Intel Xeon E5-4620 v2 @ 2.60GHz,9590
Intel Xeon Bronze 3408U,9557
Intel Core i7-10710U @ 1.10GHz,9551
Intel Core i5-8500 @ 3.00GHz,9545
Intel Xeon E5-2651 v2 @ 1.80GHz,9544
AMD Custom APU 0932,9496
Intel Xeon Gold 5222 @ 3.80GHz,9489
Intel U300E,9478
Intel Core i7-1265UE,9471
Intel Core i5-9400F @ 2.90GHz,9469
AMD Ryzen 5 2500X,9467
Intel Xeon E5-2680 @ 2.70GHz,9399
Intel Core i7-4930K @ 3.40GHz,9387
Intel Xeon E5-4655 v3 @ 2.90GHz,9377
Intel Core i5-9400 @ 2.90GHz,9370
Intel Xeon E-2144G @ 3.60GHz,9368
AMD Ryzen 5 3350GE,9343
Intel Pentium Gold 8505,9328
Intel Xeon E5-1650 v2 @ 3.50GHz,9325
Intel Core i5-8600T @ 2.30GHz,9325
Intel Xeon E5-4627 v2 @ 3.30GHz,9320
Intel Core i3-10305 @ 3.80GHz,9291
Intel Core i3-10300 @ 3.70GHz,9288
Intel Xeon D-1557 @ 1.50GHz,9285
Intel Xeon E3-1275 v6 @ 3.80GHz,9285
Intel Core i5-1245UE,9283
Intel Core i7-1068NG7 @ 2.30GHz,9274
Intel Xeon E-2134 @ 3.50GHz,9260
AMD Ryzen 5 PRO 3350G,9259
Intel Xeon E5-2620 v4 @ 2.10GHz,9251
AMD Ryzen 5 3400G,9250
Intel Core i5-8400 @ 2.80GHz,9234
AMD Ryzen 5 7520U,9199
Intel Core i5-1145G7E @ 2.60GHz,9196
Intel Xeon E5-2643 v2 @ 3.50GHz,9184
Intel Core i7-1160G7 @ 1.20GHz,9181
Intel Xeon E5-2629 v3 @ 2.40GHz,9139
Intel Xeon E-2234 @ 3.60GHz,9114
AMD Ryzen 5 1500X,9104
Intel Xeon D-1715TER @ 2.40GHz,9104
AMD Ryzen 5 PRO 1500,9099
AMD Ryzen 5 PRO 3400G,9092
Intel Xeon D-1548 @ 2.00GHz,9075
Intel Core i5-1140G7 @ 1.10GHz,9072
Intel Xeon E5-4648 v3 @ 1.70GHz,9061
Intel Xeon E5-2450 v2 @ 2.50GHz,9041
Intel Xeon E3-1280 v6 @ 3.90GHz,9032
AMD Ryzen 5 3350G,8998
Intel Core i3-10105F @ 3.70GHz,8987
Intel Xeon E5-2670 @ 2.60GHz,8966
Intel Xeon E3-1270 v6 @ 3.80GHz,8934
Intel Core i7-6700K @ 4.00GHz,8933
Intel Core i5-8500B @ 3.00GHz,8920
Intel Xeon Silver 4108 @ 1.80GHz,8909
Intel Core i3-1315UE,8906
Intel Core i5-3170K @ 3.20GHz,8882
AMD Ryzen 5 3400GE,8879
Intel Xeon Gold 5122 @ 3.60GHz,8874
AMD Ryzen 3 7320U,8852
Intel Core i5-1038NG7 @ 2.00GHz,8842
Intel Xeon E5-2648L v2 @ 1.90GHz,8828
Intel Core i3-1305U,8802
Intel Xeon E3-1245 v6 @ 3.70GHz,8774
Intel Core i3-10100F @ 3.60GHz,8757
Intel Xeon E3-1285 v6 @ 4.10GHz,8751
AMD Ryzen 5 2400G,8728
Intel Xeon E5-2630L v3 @ 1.80GHz,8701
Intel Core i3-N300,8693
AMD EPYC 3201,8672
Intel Xeon E3-1240 v6 @ 3.70GHz,8656
Intel Core i7-7700 @ 3.60GHz,8649
Intel Core i3-10100 @ 3.60GHz,8649
Intel Atom C5125,8631
Intel Core i3-1215UE,8617
AMD Ryzen 3 7320C,8614
Intel Xeon W-2223 @ 3.60GHz,8583
Intel Core i5-1130G7 @ 1.10GHz,8564
AMD Ryzen Embedded V1807B,8553
Intel Core i3-10105 @ 3.70GHz,8543
Intel Xeon E5-4650L @ 2.60GHz,8533
Intel Core i7-8809G @ 3.10GHz,8531
AMD Ryzen 5 PRO 2400G,8530
Intel Core i7-3970X @ 3.50GHz,8516
Intel Core i5-10400H @ 2.60GHz,8509
Intel Xeon W-11155MLE @ 1.80GHz,8502
AMD Ryzen Embedded R2544,8486
Intel Xeon W-2123 @ 3.60GHz,8472
Intel Core i5-10500TE @ 2.30GHz,8449
Intel Xeon E5-2628 v3 @ 2.50GHz,8447
Intel Core i7-3960X @ 3.30GHz,8445
Intel Xeon E3-1585 v5 @ 3.50GHz,8408
Intel Xeon E5-4650 @ 2.70GHz,8407
Intel Xeon E3-1280 v5 @ 3.70GHz,8407
Intel Xeon E5-1660 @ 3.30GHz,8407
Intel Xeon E3-1275 v5 @ 3.60GHz,8403
Intel Atom x7835RE,8400
AMD EPYC 3151,8376
Intel Core i3-10100E @ 3.20GHz,8365
Intel Core i5-10300H @ 2.50GHz,8351
Intel Core i5-9400T @ 1.80GHz,8345
Intel Xeon E3-1270 v5 @ 3.60GHz,8337
Intel Core i7-8559U @ 2.70GHz,8332
Intel Xeon E5-2665 @ 2.40GHz,8315
Intel Xeon E5-2470 @ 2.30GHz,8295
AMD Opteron 6386 SE,8291
Intel Core i7-1065G7 @ 1.30GHz,8275
AMD Athlon Gold PRO 4150GE,8259
Intel Xeon E3-1240 v5 @ 3.50GHz,8256
AMD Ryzen 5 PRO 3400GE,8252
Intel U300,8251
Intel Xeon E3-1260L v5 @ 2.90GHz,8226
Intel Core i5-9500T @ 2.20GHz,8222
Intel Core i7-8569U @ 2.80GHz,8222
Intel Core i5-1145GRE @ 2.60GHz,8221
Intel Xeon E3-1230 v6 @ 3.50GHz,8212
Intel Core i7-3930K @ 3.20GHz,8204
Intel Core i7-1180G7 @ 1.30GHz,8181
AMD Ryzen Embedded V1756B,8172
Intel Xeon E5-2660 @ 2.20GHz,8167
Intel Xeon E-2276ME @ 2.80GHz,8167
Intel Xeon E-2314 @ 2.80GHz,8146
AMD Ryzen 7 2800H,8144
Intel Core i7-10810U @ 1.10GHz,8139
Intel Core i3-10305T @ 3.00GHz,8136
Intel Core i5-1035G7 @ 1.20GHz,8133
Intel Xeon E5-1650 @ 3.20GHz,8113
AMD Ryzen 7 3750H,8101
